class,S,A,G,K,C,E,L,Q,P,T,I
1.0,0.21,0.06,0.02,0.05,0.0,0.03,0.06,0.05,0.08,0.1,0.06
1.0,0.11,0.07,0.03,0.05,0.06,0.05,0.09,0.06,0.04,0.04,0.06
1.0,0.05,0.09,0.09,0.0,0.01,0.06,0.08,0.02,0.03,0.06,0.05
1.0,0.1,0.18,0.07,0.02,0.0,0.06,0.12,0.12,0.07,0.02,0.03
1.0,0.18,0.09,0.1,0.0,0.0,0.0,0.03,0.04,0.1,0.1,0.03
1.0,0.14,0.02,0.07,0.07,0.04,0.05,0.02,0.03,0.02,0.05,0.08
1.0,0.11,0.1,0.02,0.04,0.04,0.11,0.05,0.06,0.05,0.04,0.09
1.0,0.05,0.13,0.04,0.02,0.04,0.1,0.06,0.09,0.07,0.02,0.08
1.0,0.12,0.01,0.06,0.12,0.03,0.05,0.04,0.03,0.0,0.05,0.12
1.0,0.15,0.03,0.07,0.08,0.03,0.04,0.06,0.03,0.02,0.07,0.06
1.0,0.09,0.02,0.02,0.03,0.04,0.08,0.17,0.02,0.06,0.05,0.08
1.0,0.16,0.04,0.02,0.05,0.02,0.08,0.14,0.03,0.06,0.05,0.05
1.0,0.06,0.1,0.07,0.03,0.0,0.06,0.11,0.11,0.0,0.05,0.05
1.0,0.12,0.1,0.05,0.0,0.0,0.11,0.05,0.05,0.11,0.07,0.02
1.0,0.08,0.04,0.04,0.06,0.03,0.03,0.07,0.07,0.06,0.01,0.07
1.0,0.13,0.1,0.01,0.08,0.02,0.03,0.06,0.05,0.03,0.05,0.09
1.0,0.16,0.04,0.32,0.01,0.0,0.01,0.14,0.06,0.02,0.03,0.04
1.0,0.16,0.09,0.07,0.04,0.0,0.03,0.06,0.09,0.07,0.08,0.01
1.0,0.17,0.13,0.05,0.07,0.0,0.03,0.13,0.06,0.02,0.06,0.05
1.0,0.12,0.17,0.1,0.01,0.0,0.03,0.07,0.06,0.07,0.07,0.04
1.0,0.19,0.08,0.06,0.02,0.03,0.06,0.06,0.04,0.07,0.1,0.02
2.0,0.13,0.13,0.07,0.02,0.0,0.07,0.09,0.08,0.06,0.09,0.03
2.0,0.04,0.05,0.04,0.06,0.02,0.1,0.09,0.05,0.03,0.05,0.04
2.0,0.06,0.15,0.07,0.0,0.0,0.02,0.07,0.06,0.15,0.06,0.0
2.0,0.12,0.11,0.08,0.09,0.0,0.04,0.07,0.07,0.08,0.08,0.03
2.0,0.09,0.09,0.04,0.07,0.02,0.1,0.11,0.06,0.03,0.04,0.08
2.0,0.08,0.09,0.08,0.13,0.01,0.06,0.07,0.09,0.04,0.08,0.02
2.0,0.15,0.13,0.09,0.0,0.0,0.05,0.06,0.08,0.07,0.07,0.02
2.0,0.23,0.12,0.04,0.04,0.0,0.08,0.05,0.04,0.06,0.04,0.03
2.0,0.12,0.08,0.04,0.02,0.01,0.07,0.18,0.07,0.05,0.09,0.06
2.0,0.1,0.04,0.01,0.07,0.01,0.09,0.22,0.06,0.1,0.06,0.02
2.0,0.09,0.09,0.03,0.09,0.0,0.08,0.1,0.03,0.04,0.09,0.06
2.0,0.07,0.06,0.05,0.04,0.01,0.13,0.11,0.03,0.06,0.05,0.05
2.0,0.08,0.07,0.06,0.02,0.02,0.09,0.09,0.05,0.04,0.06,0.07
2.0,0.15,0.13,0.09,0.0,0.0,0.05,0.04,0.1,0.04,0.2,0.04
2.0,0.12,0.12,0.06,0.09,0.0,0.02,0.07,0.01,0.03,0.03,0.11
2.0,0.1,0.11,0.08,0.05,0.02,0.05,0.07,0.02,0.04,0.11,0.08
2.0,0.08,0.06,0.09,0.07,0.0,0.04,0.1,0.02,0.03,0.06,0.09
2.0,0.08,0.13,0.14,0.04,0.0,0.03,0.11,0.01,0.04,0.04,0.03
2.0,0.09,0.08,0.13,0.09,0.0,0.03,0.05,0.0,0.02,0.06,0.06
2.0,0.08,0.12,0.07,0.08,0.0,0.02,0.1,0.02,0.01,0.07,0.07
2.0,0.1,0.17,0.07,0.05,0.02,0.01,0.09,0.01,0.02,0.11,0.03
2.0,0.11,0.09,0.04,0.08,0.02,0.03,0.1,0.03,0.03,0.07,0.08
2.0,0.12,0.07,0.08,0.1,0.01,0.03,0.1,0.04,0.01,0.04,0.09
2.0,0.23,0.11,0.03,0.04,0.01,0.05,0.05,0.03,0.02,0.1,0.02
2.0,0.13,0.04,0.09,0.04,0.02,0.03,0.11,0.02,0.05,0.13,0.03
2.0,0.11,0.12,0.12,0.04,0.02,0.07,0.04,0.01,0.01,0.11,0.05
2.0,0.07,0.08,0.06,0.05,0.02,0.02,0.09,0.03,0.04,0.11,0.07
2.0,0.06,0.11,0.08,0.05,0.02,0.04,0.1,0.02,0.04,0.03,0.05
2.0,0.09,0.2,0.08,0.04,0.02,0.02,0.09,0.05,0.0,0.1,0.03
2.0,0.05,0.13,0.08,0.07,0.03,0.02,0.08,0.04,0.07,0.08,0.09
2.0,0.09,0.08,0.09,0.07,0.0,0.06,0.05,0.05,0.02,0.09,0.05
2.0,0.13,0.05,0.09,0.03,0.0,0.11,0.05,0.04,0.04,0.08,0.02
2.0,0.07,0.14,0.06,0.03,0.03,0.02,0.09,0.01,0.04,0.07,0.04
2.0,0.07,0.09,0.1,0.11,0.0,0.05,0.12,0.06,0.01,0.07,0.07
2.0,0.14,0.16,0.11,0.05,0.0,0.04,0.06,0.02,0.01,0.09,0.09
0.0,0.09,0.11,0.07,0.06,0.02,0.03,0.09,0.04,0.04,0.12,0.05
0.0,0.11,0.15,0.09,0.05,0.02,0.03,0.07,0.02,0.01,0.08,0.04
0.0,0.05,0.15,0.08,0.05,0.02,0.02,0.08,0.05,0.01,0.14,0.05
0.0,0.05,0.07,0.07,0.11,0.02,0.03,0.1,0.02,0.03,0.14,0.03
0.0,0.06,0.23,0.12,0.02,0.0,0.02,0.09,0.06,0.04,0.02,0.04
0.0,0.09,0.05,0.11,0.11,0.0,0.03,0.13,0.09,0.01,0.08,0.06
0.0,0.11,0.1,0.09,0.01,0.0,0.03,0.12,0.08,0.02,0.07,0.07
0.0,0.08,0.1,0.1,0.06,0.0,0.02,0.05,0.03,0.05,0.13,0.0
0.0,0.13,0.09,0.08,0.05,0.0,0.02,0.07,0.05,0.01,0.07,0.03
0.0,0.09,0.11,0.12,0.04,0.0,0.02,0.07,0.06,0.05,0.02,0.06
0.0,0.13,0.12,0.06,0.07,0.02,0.02,0.13,0.03,0.02,0.11,0.04
0.0,0.05,0.14,0.08,0.06,0.02,0.03,0.07,0.05,0.03,0.12,0.03
0.0,0.08,0.09,0.09,0.04,0.0,0.05,0.15,0.08,0.05,0.05,0.06
0.0,0.09,0.09,0.1,0.1,0.0,0.07,0.05,0.01,0.04,0.06,0.04
0.0,0.1,0.14,0.04,0.09,0.03,0.06,0.07,0.01,0.03,0.08,0.07
0.0,0.09,0.12,0.06,0.07,0.01,0.03,0.04,0.02,0.01,0.06,0.07
0.0,0.11,0.08,0.07,0.1,0.02,0.05,0.05,0.04,0.02,0.06,0.06
