class,A,Y,C,D,Q,G,S,H,R,L,I,V
1.0,0.06,0.02,0.0,0.01,0.05,0.02,0.21,0.03,0.05,0.06,0.06,0.05
1.0,0.07,0.04,0.06,0.06,0.06,0.03,0.11,0.02,0.06,0.09,0.06,0.01
1.0,0.09,0.01,0.01,0.07,0.02,0.09,0.05,0.03,0.09,0.08,0.05,0.1
1.0,0.18,0.0,0.0,0.01,0.12,0.07,0.1,0.02,0.08,0.12,0.03,0.05
1.0,0.09,0.0,0.0,0.0,0.04,0.1,0.18,0.03,0.07,0.03,0.03,0.07
1.0,0.02,0.02,0.04,0.05,0.03,0.07,0.14,0.02,0.07,0.02,0.08,0.09
1.0,0.1,0.04,0.04,0.02,0.06,0.02,0.11,0.03,0.03,0.05,0.09,0.02
1.0,0.13,0.01,0.04,0.03,0.09,0.04,0.05,0.02,0.04,0.06,0.08,0.03
1.0,0.01,0.02,0.03,0.05,0.03,0.06,0.12,0.02,0.06,0.04,0.12,0.07
1.0,0.03,0.02,0.03,0.04,0.03,0.07,0.15,0.01,0.07,0.06,0.06,0.07
1.0,0.02,0.01,0.04,0.04,0.02,0.02,0.09,0.03,0.1,0.17,0.08,0.03
1.0,0.04,0.01,0.02,0.01,0.03,0.02,0.16,0.03,0.03,0.14,0.05,0.04
1.0,0.1,0.0,0.0,0.04,0.11,0.07,0.06,0.04,0.07,0.11,0.05,0.06
1.0,0.1,0.0,0.0,0.03,0.05,0.05,0.12,0.0,0.14,0.05,0.02,0.04
1.0,0.04,0.06,0.03,0.04,0.07,0.04,0.08,0.02,0.04,0.07,0.07,0.08
1.0,0.1,0.01,0.02,0.07,0.05,0.01,0.13,0.02,0.04,0.06,0.09,0.02
1.0,0.04,0.0,0.0,0.01,0.06,0.32,0.16,0.0,0.01,0.14,0.04,0.0
1.0,0.09,0.0,0.0,0.02,0.09,0.07,0.16,0.02,0.12,0.06,0.01,0.04
1.0,0.13,0.0,0.0,0.08,0.06,0.05,0.17,0.01,0.0,0.13,0.05,0.04
1.0,0.17,0.0,0.0,0.02,0.06,0.1,0.12,0.05,0.05,0.07,0.04,0.06
1.0,0.08,0.02,0.03,0.1,0.04,0.06,0.19,0.0,0.05,0.06,0.02,0.03
1.0,0.13,0.0,0.0,0.03,0.08,0.07,0.13,0.03,0.05,0.09,0.03,0.02
1.0,0.05,0.04,0.02,0.05,0.05,0.04,0.04,0.05,0.07,0.09,0.04,0.06
1.0,0.15,0.05,0.0,0.02,0.06,0.07,0.06,0.0,0.0,0.07,0.0,0.17
1.0,0.11,0.0,0.0,0.01,0.07,0.08,0.12,0.02,0.03,0.07,0.03,0.02
1.0,0.09,0.04,0.02,0.01,0.06,0.04,0.09,0.05,0.03,0.11,0.08,0.03
1.0,0.09,0.02,0.01,0.02,0.09,0.08,0.08,0.01,0.04,0.07,0.02,0.04
1.0,0.13,0.02,0.0,0.03,0.08,0.09,0.15,0.0,0.11,0.06,0.02,0.01
1.0,0.12,0.02,0.0,0.03,0.04,0.04,0.23,0.0,0.06,0.05,0.03,0.0
1.0,0.08,0.0,0.01,0.03,0.07,0.04,0.12,0.01,0.0,0.18,0.06,0.11
1.0,0.04,0.01,0.01,0.05,0.06,0.01,0.1,0.06,0.01,0.22,0.02,0.03
1.0,0.09,0.02,0.0,0.05,0.03,0.03,0.09,0.03,0.05,0.1,0.06,0.07
1.0,0.06,0.02,0.01,0.06,0.03,0.05,0.07,0.01,0.03,0.11,0.05,0.07
0.0,0.07,0.05,0.02,0.07,0.05,0.06,0.08,0.02,0.01,0.09,0.07,0.04
0.0,0.13,0.0,0.0,0.02,0.1,0.09,0.15,0.03,0.0,0.04,0.04,0.05
0.0,0.12,0.04,0.0,0.04,0.01,0.06,0.12,0.0,0.03,0.07,0.11,0.1
0.0,0.11,0.0,0.02,0.04,0.02,0.08,0.1,0.0,0.03,0.07,0.08,0.08
0.0,0.06,0.05,0.0,0.04,0.02,0.09,0.08,0.02,0.05,0.1,0.09,0.06
0.0,0.13,0.04,0.0,0.02,0.01,0.14,0.08,0.01,0.08,0.11,0.03,0.07
0.0,0.08,0.04,0.0,0.06,0.0,0.13,0.09,0.01,0.01,0.05,0.06,0.08
0.0,0.12,0.04,0.0,0.05,0.02,0.07,0.08,0.01,0.04,0.1,0.07,0.07
0.0,0.17,0.04,0.02,0.05,0.01,0.07,0.1,0.01,0.03,0.09,0.03,0.09
0.0,0.09,0.05,0.02,0.03,0.03,0.04,0.11,0.02,0.07,0.1,0.08,0.06
0.0,0.07,0.05,0.01,0.04,0.04,0.08,0.12,0.02,0.04,0.1,0.09,0.04
0.0,0.11,0.03,0.01,0.07,0.03,0.03,0.23,0.01,0.03,0.05,0.02,0.05
0.0,0.04,0.02,0.02,0.07,0.02,0.09,0.13,0.02,0.0,0.11,0.03,0.04
0.0,0.12,0.0,0.02,0.03,0.01,0.12,0.11,0.03,0.0,0.04,0.05,0.1
0.0,0.08,0.02,0.02,0.07,0.03,0.06,0.07,0.01,0.02,0.09,0.07,0.07
0.0,0.11,0.04,0.02,0.02,0.02,0.08,0.06,0.01,0.08,0.1,0.05,0.08
0.0,0.2,0.0,0.02,0.04,0.05,0.08,0.09,0.01,0.01,0.09,0.03,0.13
0.0,0.13,0.01,0.03,0.06,0.04,0.08,0.05,0.02,0.04,0.08,0.09,0.05
0.0,0.08,0.04,0.0,0.06,0.05,0.09,0.09,0.02,0.02,0.05,0.05,0.04
0.0,0.05,0.0,0.0,0.08,0.04,0.09,0.13,0.04,0.04,0.05,0.02,0.05
0.0,0.14,0.02,0.03,0.04,0.01,0.06,0.07,0.02,0.04,0.09,0.04,0.1
0.0,0.09,0.03,0.0,0.05,0.06,0.1,0.07,0.01,0.01,0.12,0.07,0.03
0.0,0.16,0.02,0.0,0.03,0.02,0.11,0.14,0.0,0.02,0.06,0.09,0.04
0.0,0.11,0.03,0.02,0.03,0.04,0.07,0.09,0.0,0.0,0.09,0.05,0.09
0.0,0.15,0.0,0.02,0.03,0.02,0.09,0.11,0.02,0.01,0.07,0.04,0.12
0.0,0.15,0.02,0.02,0.06,0.05,0.08,0.05,0.01,0.03,0.08,0.05,0.07
0.0,0.07,0.01,0.02,0.03,0.02,0.07,0.05,0.01,0.0,0.1,0.03,0.1
0.0,0.23,0.02,0.0,0.02,0.06,0.12,0.06,0.01,0.02,0.09,0.04,0.07
0.0,0.05,0.02,0.0,0.05,0.09,0.11,0.09,0.01,0.02,0.13,0.06,0.03
0.0,0.1,0.04,0.0,0.03,0.08,0.09,0.11,0.03,0.04,0.12,0.07,0.07
0.0,0.1,0.07,0.0,0.05,0.03,0.1,0.08,0.03,0.02,0.05,0.0,0.05
0.0,0.09,0.04,0.0,0.07,0.05,0.08,0.13,0.02,0.04,0.07,0.03,0.06
0.0,0.11,0.02,0.0,0.03,0.06,0.12,0.09,0.03,0.01,0.07,0.06,0.08
0.0,0.12,0.02,0.02,0.04,0.03,0.06,0.13,0.0,0.01,0.13,0.04,0.04
0.0,0.14,0.0,0.02,0.07,0.05,0.08,0.05,0.01,0.04,0.07,0.03,0.09
0.0,0.09,0.04,0.0,0.04,0.08,0.09,0.08,0.01,0.03,0.15,0.06,0.08
0.0,0.09,0.0,0.0,0.04,0.01,0.1,0.09,0.03,0.01,0.05,0.04,0.1
0.0,0.14,0.02,0.03,0.01,0.01,0.04,0.1,0.01,0.02,0.07,0.07,0.05
0.0,0.12,0.03,0.01,0.05,0.02,0.06,0.09,0.01,0.05,0.04,0.07,0.1
0.0,0.08,0.0,0.02,0.07,0.04,0.07,0.11,0.0,0.0,0.05,0.06,0.13
